
2024/01/11 (21:14:26) | ===> btop++ v.1.3.0
2024/01/11 (21:14:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/11 (21:14:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/15 (18:28:24) | ===> btop++ v.1.3.0
2024/01/15 (18:28:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/15 (18:28:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (22:45:23) | ===> btop++ v.1.3.0
2024/01/16 (22:45:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (22:45:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (22:45:49) | ===> btop++ v.1.3.0
2024/01/16 (22:45:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (22:45:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (22:48:09) | ===> btop++ v.1.3.0
2024/01/16 (22:48:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (22:48:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/01/16 (22:49:34) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/01/16 (22:49:39) | ===> btop++ v.1.3.0
2024/01/16 (22:49:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (22:49:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/28 (12:39:08) | ===> btop++ v.1.3.0
2024/01/28 (12:39:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (12:39:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/31 (15:55:57) | ===> btop++ v.1.3.0
2024/01/31 (15:55:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/31 (15:55:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/10 (19:40:09) | ===> btop++ v.1.3.0
2024/02/10 (19:40:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/10 (19:40:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (20:10:30) | ===> btop++ v.1.3.0
2024/02/11 (20:10:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (20:10:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (21:34:04) | ===> btop++ v.1.3.2
2024/02/16 (21:34:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (21:34:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/24 (11:32:22) | ===> btop++ v.1.3.2
2024/02/24 (11:32:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/24 (11:32:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
